Id,SL,sepal.width,petal.length,petal.width,variety,Zeros,Zeros+1,petal.length^2
1,5.1,3.5,1.4,0.2,Setosa,0,1,1.9599999999999997
2,4.9,3.0,1.4,0.2,Setosa,0,1,1.9599999999999997
3,4.7,3.2,1.3,0.2,Setosa,0,1,1.6900000000000002
4,4.6,3.1,1.5,0.2,Setosa,0,1,2.25
5,5.0,3.6,1.4,0.2,Setosa,0,1,1.9599999999999997
6,5.4,3.9,1.7,0.4,Setosa,0,1,2.8899999999999997
7,4.6,3.4,1.4,0.3,Setosa,0,1,1.9599999999999997
8,5.0,3.4,1.5,0.2,Setosa,0,1,2.25
9,4.4,2.9,1.4,0.2,Setosa,0,1,1.9599999999999997
10,4.9,3.1,1.5,0.1,Setosa,0,1,2.25
11,5.4,3.7,1.5,0.2,Setosa,0,1,2.25
12,4.8,3.4,1.6,0.2,Setosa,0,1,2.5600000000000005
13,4.8,3.0,1.4,0.1,Setosa,0,1,1.9599999999999997
14,4.3,3.0,1.1,0.1,Setosa,0,1,1.2100000000000002
15,5.8,4.0,1.2,0.2,Setosa,0,1,1.44
16,5.7,4.4,1.5,0.4,Setosa,0,1,2.25
17,5.4,3.9,1.3,0.4,Setosa,0,1,1.6900000000000002
18,5.1,3.5,1.4,0.3,Setosa,0,1,1.9599999999999997
19,5.7,3.8,1.7,0.3,Setosa,0,1,2.8899999999999997
20,5.1,3.8,1.5,0.3,Setosa,0,1,2.25
21,5.4,3.4,1.7,0.2,Setosa,0,1,2.8899999999999997
22,5.1,3.7,1.5,0.4,Setosa,0,1,2.25
23,4.6,3.6,1.0,0.2,Setosa,0,1,1.0
24,5.1,3.3,1.7,0.5,Setosa,0,1,2.8899999999999997
25,4.8,3.4,1.9,0.2,Setosa,0,1,3.61
26,5.0,3.0,1.6,0.2,Setosa,0,1,2.5600000000000005
27,5.0,3.4,1.6,0.4,Setosa,0,1,2.5600000000000005
28,5.2,3.5,1.5,0.2,Setosa,0,1,2.25
29,5.2,3.4,1.4,0.2,Setosa,0,1,1.9599999999999997
30,4.7,3.2,1.6,0.2,Setosa,0,1,2.5600000000000005
31,4.8,3.1,1.6,0.2,Setosa,0,1,2.5600000000000005
32,5.4,3.4,1.5,0.4,Setosa,0,1,2.25
33,5.2,4.1,1.5,0.1,Setosa,0,1,2.25
34,5.5,4.2,1.4,0.2,Setosa,0,1,1.9599999999999997
35,4.9,3.1,1.5,0.2,Setosa,0,1,2.25
36,5.0,3.2,1.2,0.2,Setosa,0,1,1.44
37,5.5,3.5,1.3,0.2,Setosa,0,1,1.6900000000000002
38,4.9,3.6,1.4,0.1,Setosa,0,1,1.9599999999999997
39,4.4,3.0,1.3,0.2,Setosa,0,1,1.6900000000000002
40,5.1,3.4,1.5,0.2,Setosa,0,1,2.25
41,5.0,3.5,1.3,0.3,Setosa,0,1,1.6900000000000002
42,4.5,2.3,1.3,0.3,Setosa,0,1,1.6900000000000002
43,4.4,3.2,1.3,0.2,Setosa,0,1,1.6900000000000002
44,5.0,3.5,1.6,0.6,Setosa,0,1,2.5600000000000005
45,5.1,3.8,1.9,0.4,Setosa,0,1,3.61
46,4.8,3.0,1.4,0.3,Setosa,0,1,1.9599999999999997
47,5.1,3.8,1.6,0.2,Setosa,0,1,2.5600000000000005
48,4.6,3.2,1.4,0.2,Setosa,0,1,1.9599999999999997
49,5.3,3.7,1.5,0.2,Setosa,0,1,2.25
50,5.0,3.3,1.4,0.2,Setosa,0,1,1.9599999999999997
51,7.0,3.2,4.7,1.4,Versicolor,0,1,22.090000000000003
52,6.4,3.2,4.5,1.5,Versicolor,0,1,20.25
53,6.9,3.1,4.9,1.5,Versicolor,0,1,24.010000000000005
54,5.5,2.3,4.0,1.3,Versicolor,0,1,16.0
55,6.5,2.8,4.6,1.5,Versicolor,0,1,21.159999999999997
56,5.7,2.8,4.5,1.3,Versicolor,0,1,20.25
57,6.3,3.3,4.7,1.6,Versicolor,0,1,22.090000000000003
58,4.9,2.4,3.3,1.0,Versicolor,0,1,10.889999999999999
59,6.6,2.9,4.6,1.3,Versicolor,0,1,21.159999999999997
60,5.2,2.7,3.9,1.4,Versicolor,0,1,15.209999999999999
61,5.0,2.0,3.5,1.0,Versicolor,0,1,12.25
62,5.9,3.0,4.2,1.5,Versicolor,0,1,17.64
63,6.0,2.2,4.0,1.0,Versicolor,0,1,16.0
64,6.1,2.9,4.7,1.4,Versicolor,0,1,22.090000000000003
65,5.6,2.9,3.6,1.3,Versicolor,0,1,12.96
66,6.7,3.1,4.4,1.4,Versicolor,0,1,19.360000000000003
67,5.6,3.0,4.5,1.5,Versicolor,0,1,20.25
68,5.8,2.7,4.1,1.0,Versicolor,0,1,16.81
69,6.2,2.2,4.5,1.5,Versicolor,0,1,20.25
70,5.6,2.5,3.9,1.1,Versicolor,0,1,15.209999999999999
71,5.9,3.2,4.8,1.8,Versicolor,0,1,23.04
72,6.1,2.8,4.0,1.3,Versicolor,0,1,16.0
73,6.3,2.5,4.9,1.5,Versicolor,0,1,24.010000000000005
74,6.1,2.8,4.7,1.2,Versicolor,0,1,22.090000000000003
75,6.4,2.9,4.3,1.3,Versicolor,0,1,18.49
76,6.6,3.0,4.4,1.4,Versicolor,0,1,19.360000000000003
77,6.8,2.8,4.8,1.4,Versicolor,0,1,23.04
78,6.7,3.0,5.0,1.7,Versicolor,0,1,25.0
79,6.0,2.9,4.5,1.5,Versicolor,0,1,20.25
80,5.7,2.6,3.5,1.0,Versicolor,0,1,12.25
81,5.5,2.4,3.8,1.1,Versicolor,0,1,14.44
82,5.5,2.4,3.7,1.0,Versicolor,0,1,13.690000000000001
83,5.8,2.7,3.9,1.2,Versicolor,0,1,15.209999999999999
84,6.0,2.7,5.1,1.6,Versicolor,0,1,26.009999999999998
85,5.4,3.0,4.5,1.5,Versicolor,0,1,20.25
86,6.0,3.4,4.5,1.6,Versicolor,0,1,20.25
87,6.7,3.1,4.7,1.5,Versicolor,0,1,22.090000000000003
88,6.3,2.3,4.4,1.3,Versicolor,0,1,19.360000000000003
89,5.6,3.0,4.1,1.3,Versicolor,0,1,16.81
90,5.5,2.5,4.0,1.3,Versicolor,0,1,16.0
91,5.5,2.6,4.4,1.2,Versicolor,0,1,19.360000000000003
92,6.1,3.0,4.6,1.4,Versicolor,0,1,21.159999999999997
93,5.8,2.6,4.0,1.2,Versicolor,0,1,16.0
94,5.0,2.3,3.3,1.0,Versicolor,0,1,10.889999999999999
95,5.6,2.7,4.2,1.3,Versicolor,0,1,17.64
96,5.7,3.0,4.2,1.2,Versicolor,0,1,17.64
97,5.7,2.9,4.2,1.3,Versicolor,0,1,17.64
98,6.2,2.9,4.3,1.3,Versicolor,0,1,18.49
99,5.1,2.5,3.0,1.1,Versicolor,0,1,9.0
100,5.7,2.8,4.1,1.3,Versicolor,0,1,16.81
101,6.3,3.3,6.0,2.5,Virginica,0,1,36.0
102,5.8,2.7,5.1,1.9,Virginica,0,1,26.009999999999998
103,7.1,3.0,5.9,2.1,Virginica,0,1,34.81
104,6.3,2.9,5.6,1.8,Virginica,0,1,31.359999999999996
105,6.5,3.0,5.8,2.2,Virginica,0,1,33.64
106,7.6,3.0,6.6,2.1,Virginica,0,1,43.559999999999995
107,4.9,2.5,4.5,1.7,Virginica,0,1,20.25
108,7.3,2.9,6.3,1.8,Virginica,0,1,39.69
109,6.7,2.5,5.8,1.8,Virginica,0,1,33.64
110,7.2,3.6,6.1,2.5,Virginica,0,1,37.209999999999994
111,6.5,3.2,5.1,2.0,Virginica,0,1,26.009999999999998
112,6.4,2.7,5.3,1.9,Virginica,0,1,28.09
113,6.8,3.0,5.5,2.1,Virginica,0,1,30.25
114,5.7,2.5,5.0,2.0,Virginica,0,1,25.0
115,5.8,2.8,5.1,2.4,Virginica,0,1,26.009999999999998
116,6.4,3.2,5.3,2.3,Virginica,0,1,28.09
117,6.5,3.0,5.5,1.8,Virginica,0,1,30.25
118,7.7,3.8,6.7,2.2,Virginica,0,1,44.89
119,7.7,2.6,6.9,2.3,Virginica,0,1,47.61000000000001
120,6.0,2.2,5.0,1.5,Virginica,0,1,25.0
121,6.9,3.2,5.7,2.3,Virginica,0,1,32.49
122,5.6,2.8,4.9,2.0,Virginica,0,1,24.010000000000005
123,7.7,2.8,6.7,2.0,Virginica,0,1,44.89
124,6.3,2.7,4.9,1.8,Virginica,0,1,24.010000000000005
125,6.7,3.3,5.7,2.1,Virginica,0,1,32.49
126,7.2,3.2,6.0,1.8,Virginica,0,1,36.0
127,6.2,2.8,4.8,1.8,Virginica,0,1,23.04
128,6.1,3.0,4.9,1.8,Virginica,0,1,24.010000000000005
129,6.4,2.8,5.6,2.1,Virginica,0,1,31.359999999999996
130,7.2,3.0,5.8,1.6,Virginica,0,1,33.64
131,7.4,2.8,6.1,1.9,Virginica,0,1,37.209999999999994
132,7.9,3.8,6.4,2.0,Virginica,0,1,40.96000000000001
133,6.4,2.8,5.6,2.2,Virginica,0,1,31.359999999999996
134,6.3,2.8,5.1,1.5,Virginica,0,1,26.009999999999998
135,6.1,2.6,5.6,1.4,Virginica,0,1,31.359999999999996
136,7.7,3.0,6.1,2.3,Virginica,0,1,37.209999999999994
137,6.3,3.4,5.6,2.4,Virginica,0,1,31.359999999999996
138,6.4,3.1,5.5,1.8,Virginica,0,1,30.25
139,6.0,3.0,4.8,1.8,Virginica,0,1,23.04
140,6.9,3.1,5.4,2.1,Virginica,0,1,29.160000000000004
141,6.7,3.1,5.6,2.4,Virginica,0,1,31.359999999999996
142,6.9,3.1,5.1,2.3,Virginica,0,1,26.009999999999998
143,5.8,2.7,5.1,1.9,Virginica,0,1,26.009999999999998
144,6.8,3.2,5.9,2.3,Virginica,0,1,34.81
145,6.7,3.3,5.7,2.5,Virginica,0,1,32.49
146,6.7,3.0,5.2,2.3,Virginica,0,1,27.040000000000003
147,6.3,2.5,5.0,1.9,Virginica,0,1,25.0
148,6.5,3.0,5.2,2.0,Virginica,0,1,27.040000000000003
149,6.2,3.4,5.4,2.3,Virginica,0,1,29.160000000000004
150,5.9,3.0,5.1,1.8,Virginica,0,1,26.009999999999998
